2008,6,1,152,21,77,1004,4
2008,6,2,153,20,81,1009,5
2008,6,3,154,18,83,1010,4
2008,6,4,155,17,92,1007,5
2008,6,5,156,20,82,1009,4
2008,6,6,157,19,83,1010,5
2008,6,7,158,20,88,1009,0
2008,6,8,159,24,88,1007,0
2008,6,9,160,21,89,1009,0
2008,6,10,161,21,92,1007,0
2008,6,11,162,23,77,1008,0
2008,6,12,163,21,85,1008,0
2008,6,13,164,22,83,1010,2
2008,6,14,165,21,76,1011,3
2008,6,15,166,21,72,1013,4
2008,6,16,167,21,85,1011,5
2008,6,17,168,19,98,1009,5
2008,6,18,169,23,88,1005,5
2008,6,19,170,24,88,1006,4
2008,6,20,171,24,95,1003,5
2008,6,21,172,24,86,1000,0
2008,6,22,173,24,85,1002,0
2008,6,23,174,22,89,1002,0
2008,6,24,175,22,89,1005,0
2008,6,25,176,23,77,1007,0
2008,6,26,177,24,84,1007,0
2008,6,27,178,23,82,1007,0
2008,6,28,179,23,73,1005,2
2008,6,29,180,24,71,1006,3
2008,6,30,181,24,86,1007,4
2008,7,1,182,23,99,1004,5
2008,7,2,183,26,87,1000,5
2008,7,3,184,27,83,1001,4
2008,7,4,185,28,92,1001,5
2008,7,5,186,27,91,998,5
2008,7,6,187,28,80,1002,0
2008,7,7,188,28,78,1007,2
2008,7,8,189,27,93,1009,3
2008,7,9,190,27,93,1008,4
2008,7,10,191,27,94,1004,5
2008,7,11,192,28,93,1001,5
2008,7,12,193,27,83,1003,2
2008,7,13,194,26,82,1007,3
2008,7,14,195,26,87,1008,4
2008,7,15,196,26,97,1003,5
2008,7,16,197,26,85,1002,5
2008,7,17,198,27,75,1004,4
2008,7,18,199,24,91,1004,5
2008,7,19,200,26,93,1003,5
2008,7,20,201,24,98,1001,5
2008,7,21,202,26,87,1003,5
2008,7,22,203,26,88,1004,5
2008,7,23,204,22,99,1002,5
2008,7,24,205,24,98,1000,5
2008,7,25,206,26,83,1004,0
2008,7,26,207,27,84,1006,0
2008,7,27,208,27,88,1008,2
2008,7,28,209,28,92,1009,3
2008,7,29,210,28,90,1008,4
